address,balance
0xa2a6d93439144ffe4d27c9e088dcd8b783946263,0xd3c21bcecceda1000000
0xbc11295936aa79d594139de1b2e12629414f3bdb,0xd3c21bcecceda1000000
0x7cf5b79bfe291a67ab02b393e456ccc4c266f753,0xd3c21bcecceda1000000
0xaaec86394441f915bce3e6ab399977e9906f3b69,0xd3c21bcecceda1000000
0xf47cae1cf79ca6758bfc787dbd21e6bdbe7112b8,0xd3c21bcecceda1000000
0xd7eddb78ed295b3c9629240e8924fb8d8874ddd8,0xd3c21bcecceda1000000
0x8b7f0977bb4f0fbe7076fa22bc24aca043583f5e,0xd3c21bcecceda1000000
0xe2e2659028143784d557bcec6ff3a0721048880a,0xd3c21bcecceda1000000
0xd9a5179f091d85051d3c982785efd1455cec8699,0xd3c21bcecceda1000000
0xbeef32ca5b9a198d27b4e02f4c70439fe60356cf,0xd3c21bcecceda1000000
0x0000006916a87b82333f4245046623b23794c65c,0x84595161401484a000000
0xb21c33de1fab3fa15499c62b59fe0cc3250020d1,0x52b7d2dcc80cd2e4000000
0x10f5d45854e038071485ac9e402308cf80d2d2fe,0x52b7d2dcc80cd2e4000000
0xd7d76c58b3a519e9fa6cc4d22dc017259bc49f1e,0x52b7d2dcc80cd2e4000000
0x799d329e5f583419167cd722962485926e338f4a,0xde0b6b3a7640000
