enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, cmd,  all,  blooms, tools/getBloom, force_01,        y, blocks = 2768801 1995314 1958017 & force, getBlock

on, cmd,  fast, blooms, tools/getBloom, README,          y, @th
on, cmd,  fast, blooms, tools/getBloom, help,            y, @h
on, cmd,  fast, blooms, tools/getBloom, help_long,       y, help

on, both, fast, blooms, tools/getBloom, no_params,       y,
on, cmd,  fast, blooms, tools/getBloom, invalid_option,  y, @z
on, both, fast, blooms, tools/getBloom, baddata,         y, blocks = 1590000 4000001-4000002 x400x001
on, both, fast, blooms, tools/getBloom, badopt5,         y, blocks = 4501030 & receipt_only & block_only
on, both, medi, blooms, tools/getBloom, badopt9,         y, blocks = 4501030 & bars & bits
on, both, fast, blooms, tools/getBloom, badopt16,        y, blocks = 4501030 & bars & bitbars
on, both, fast, blooms, tools/getBloom, badopt17,        y, blocks = 4501030 & bars & pctbars
on, both, fast, blooms, tools/getBloom, badopt12,        y, blocks = 4501030 & bars & bits
on, both, medi, blooms, tools/getBloom, badopt14,        y, blocks = 4501030 & eab & block_only
on, both, medi, blooms, tools/getBloom, badopt15,        y, blocks = 4501030 & eab & receipt_only & bitcount

on, both, medi, blooms, tools/getBloom, rawlast1,        y, blocks = 4501030 & eab & raw
on, both, medi, blooms, tools/getBloom, rawlast2,        y, blocks = 4501030 & eab & raw
on, both, medi, blooms, tools/getBloom, multi1,          y, blocks = 2769609 2799895 2872831 3076260 & parity & raw
on, both, medi, blooms, tools/getBloom, special_1,       y, blocks = first
on, both, medi, blooms, tools/getBloom, special_2,       y, blocks = stateclear
on, both, slow, blooms, tools/getBloom, bloom,           y, blocks = 4000001
on, both, slow, blooms, tools/getBloom, range,           y, blocks = 4000001-4000003
on, both, slow, blooms, tools/getBloom, combo_one_range, y, blocks = 1590000 4000001-4000002 1001001 1234567 & receipt_only & verbose
on, both, slow, blooms, tools/getBloom, raw_01,          y, blocks = 2768801 1995314 1958017 & verbose & raw
on, both, slow, blooms, tools/getBloom, raw_02,          y, blocks = 2768801 1995314 1958017 & raw
on, both, slow, blooms, tools/getBloom, parity_hex,      y, blocks = 0x2e7721 & block_only & parity
on, both, slow, blooms, tools/getBloom, parity_num,      y, blocks = 728708 & parity
on, both, slow, blooms, tools/getBloom, parity_range,    y, blocks = 358450-0x5785a & bitcount & parity
on, both, slow, blooms, tools/getBloom, empty,           y, blocks = 1001001
on, both, slow, blooms, tools/getBloom, blooms,          y, blocks = 1590000 4000001 4000002
on, both, slow, blooms, tools/getBloom, blockByHash,     y, blocks = 0xd19bc98080cd70951fad3951cef2d512e6334aa3c7e64a38985c955d4d2e273b 0x5cfb2aeb032f8280c85f51857badb4cd3837427603f2939baa34692c8da52be4
on, cmd,  slow, blooms, tools/getBloom, short_receipt,   y, blocks = 4001001 & receipt_only
on, both, slow, blooms, tools/getBloom, bitbars_raw,     n, blocks = 2501030-2501060 & bitbars
on, both, slow, blooms, tools/getBloom, pctbars_raw,     n, blocks = 2501030-2501060 & pctbars
on, both, slow, blooms, tools/getBloom, bars_block2,     n, blocks = 2501030-2501060 & bitbars & block_only
on, both, slow, blooms, tools/getBloom, bars_block3,     n, blocks = 2501030-2501060 & pctbars & block_only
on, both, slow, blooms, tools/getBloom, bars_receipt2,   n, blocks = 2501030-2501060 & bitbars & receipt_only
on, both, slow, blooms, tools/getBloom, bars_receipt3,   n, blocks = 2501030-2501060 & pctbars & receipt_only
on, both, slow, blooms, tools/getBloom, combo_two_range, y, blocks = 1590000 4000001-4000002 1001001-1001100 1234567

on, cmd,  medi, blooms, tools/getBloom, cmd_file1,       y, file:cmd_file1
on, cmd,  slow, blooms, tools/getBloom, cmd_file2,       y, file:cmd_file2

# core dumps
off,both, slow, blooms, tools/getBloom, badopt10,        y, blocks = 4501030 & receipt_only & bits
off,both, slow, blooms, tools/getBloom, badopt11,        y, blocks = 4501030 & receipt_only & bits

# ./tools/getBloom/options.cpp:    COption("", "", "", OPT_DESCRIPTION, "Returns bloom filter(s) from running node (the default) or as EAB from QBlocks."),
# ./tools/getBloom/options.cpp:    COption("bars", "a", "", OPT_SWITCH, "display blooms as bar chart instead of hex"),
# ./tools/getBloom/options.cpp:    COption("bitbars", "s", "", OPT_SWITCH, "display nBits as a bar chart"),
# ./tools/getBloom/options.cpp:    COption("bitcount", "t", "", OPT_SWITCH, "display the number of bits lit per bloom"),
# ./tools/getBloom/options.cpp:    COption("bits", "i", "", OPT_SWITCH, "display blooms as bits instead of hex"),
# ./tools/getBloom/options.cpp:    COption("block_only", "b", "", OPT_SWITCH, "show only the block-level bloom (--raw only)"),
# ./tools/getBloom/options.cpp:    COption("blocks", "", "list<blknum>", OPT_REQUIRED | OPT_POSITIONAL, "a space-separated list of one or more blocks for which to retrieve blooms"),
# ./tools/getBloom/options.cpp:    COption("eab", "e", "", OPT_SWITCH, "pull the enhanced adaptive blooms from QBlocks cache"),
# ./tools/getBloom/options.cpp:    COption("force", "f", "", OPT_HIDDEN | OPT_SWITCH, "force a re-write of the bloom to the cache"),
# ./tools/getBloom/options.cpp:    COption("pctbars", "p", "", OPT_SWITCH, "display nBits as a percentage of bloom space"),
# ./tools/getBloom/options.cpp:    COption("receipt_only", "r", "", OPT_SWITCH, "show only the receipt-level blooms (--raw only)"),
